"ReplayID";"ClientVersion";"DateTime";"BattleType";"MapName";"MapResp";"PlayerID";"PlayerName";"PlayerTank";"isPremium";"isPlatoon";"PlayerShots";"PlayerFrags";"PlayerDamageDealt";"PlayerSpots";"PlayerBaseCap";"PlayerBaseDef";"PlayerMileage";"API_PlayerBattles";"API_PlayerWins";"ReplayUrl"
12325001;"[1.6.0]";"10.08.2019 18:57";"Случайный бой";"47_canada_a";"II";3334634;"KpoToMyx";"usa:A99_T92_LT";1;0;27;3;2843;2;0;0;3,6300000000;54626;29348;"http://wotreplays.ru/site/12325001"
12325004;"[1.6.0]";"10.08.2019 18:57";"Случайный бой";"114_czech";"I";46282588;"Timoxa225";"germany:G57_PzVI_Tiger_P";1;0;28;7;4674;0;0;0;1,5800000000;14743;7556;"http://wotreplays.ru/site/12325004"
12325008;"[1.6.0]";"10.08.2019 19:02";"Случайный бой";"34_redshire";"I";8356308;"_Stans_";"france:F69_AMX13_57_100";1;0;28;3;1314;5;0;5;3,7900000000;31482;17742;"http://wotreplays.ru/site/12325008"
12325011;"[1.6.0]";"10.08.2019 19:02";"Случайный бой";"10_hills";"II";38645932;"T_1891";"japan:J27_O_I_120";1;0;10;0;617;0;0;0;0,9400000000;6539;3039;"http://wotreplays.ru/site/12325011"
12325012;"[1.6.0]";"07.08.2019 19:54";"Случайный бой";"18_cliff";"II";4999838;"69STALKER69";"uk:GB21_Cromwell";1;0;26;2;2481;5;0;0;1,6000000000;35652;19213;"http://wotreplays.ru/site/12325012"
12325013;"[1.6.0]";"10.08.2019 19:00";"Случайный бой";"59_asia_great_wall";"I";4155016;"OLEGATOR2015";"germany:G114_Rheinmetall_Skorpian";1;0;14;8;4525;2;0;82;2,0400000000;38714;20526;"http://wotreplays.ru/site/12325013"
12325014;"[1.6.0]";"10.08.2019 17:27";"Случайный бой";"23_westfeld";"II";89066383;"atkyrJDM";"usa:A39_T28";1;0;17;6;4286;1;77;0;2,3700000000;12201;6109;"http://wotreplays.ru/site/12325014"
12325015;"[1.6.0]";"10.08.2019 18:57";"Случайный бой";"28_desert";"I";44464167;"traktorist646";"france:F107_Hotchkiss_EBR";1;0;26;8;2382;5;2;6;8,6400000000;18826;9531;"http://wotreplays.ru/site/12325015"
12325016;"[1.6.0]";"10.08.2019 18:59";"Случайный бой";"11_murovanka";"I";68218069;"VESMISTR";"ussr:R154_T_34E_1943";1;0;29;3;1691;3;0;0;1,0200000000;14172;6832;"http://wotreplays.ru/site/12325016"
12325017;"[1.6.0]";"10.08.2019 19:06";"Случайный бой";"37_caucasus";"I";29692010;"OnTakouOdin";"ussr:R117_T34_85_Rudy";1;0;11;2;1231;3;0;0;1,2400000000;36138;21944;"http://wotreplays.ru/site/12325017"
12325018;"[1.6.0]";"10.08.2019 19:02";"Случайный бой";"04_himmelsdorf";"I";7956367;"FSB14";"uk:GB74_AT8";1;0;46;8;3341;0;0;93;1,7000000000;23253;11248;"http://wotreplays.ru/site/12325018"
12325019;"[1.6.0]";"10.08.2019 18:58";"Случайный бой";"10_hills";"II";5019520;"GaNc22";"italy:It13_Progetto_M35_mod_46";1;0;40;8;5775;4;0;0;2,4500000000;40100;23219;"http://wotreplays.ru/site/12325019"
12325020;"[1.6.0]";"10.08.2019 18:58";"Случайный бой";"38_mannerheim_line";"II";66454905;"MiniMuk__";"france:F33_S_35CA";0;0;16;7;1744;0;0;0;2,1900000000;16489;8016;"http://wotreplays.ru/site/12325020"
12325021;"[1.6.0]";"10.08.2019 19:01";"Случайный бой";"19_monastery";"II";30806279;"boxa82";"ussr:R149_Object_268_4";1;1;14;7;6397;3;0;0;5,2400000000;38108;19307;"http://wotreplays.ru/site/12325021"
12325022;"[1.6.0]";"10.08.2019 19:04";"Тренировка";"83_kharkiv";"II";3675891;"BeceLbIu_Pala4";"ussr:R132_VNII_100LT";1;1;17;-5;714;1;0;0;3,0600000000;58468;31177;"http://wotreplays.ru/site/12325022"
12325023;"[1.6.0]";"10.08.2019 19:10";"Случайный бой";"35_steppes";"I";26682976;"kot9777";"usa:A100_T49";1;0;6;3;2571;2;0;0;2,5800000000;46988;25468;"http://wotreplays.ru/site/12325023"
12325024;"[1.6.0]";"07.08.2019 07:48";"Случайный бой";"101_dday";"I";18295925;"Serega16_04_2002";"ussr:R01_IS";1;0;18;3;2811;3;0;0;1,7300000000;88145;46877;"http://wotreplays.ru/site/12325024"
12325025;"[1.6.0]";"10.08.2019 19:04";"Тренировка";"83_kharkiv";"II";461765;"StaLyeR";"ussr:Observer";0;1;0;0;0;0;0;0;0,0000000000;29573;17916;"http://wotreplays.ru/site/12325025"
12325026;"[1.6.0]";"10.08.2019 18:58";"Случайный бой";"23_westfeld";"I";81877757;"EROGORS";"ussr:R134_Object_252K";1;0;23;3;3612;1;0;0;3,1700000000;8295;4374;"http://wotreplays.ru/site/12325026"
12325027;"[1.6.0]";"10.08.2019 18:58";"Случайный бой";"13_erlenberg";"I";11403507;"AlexWhite159";"germany:G114_Rheinmetall_Skorpian";0;0;12;1;1347;0;0;0;0,5800000000;11692;5448;"http://wotreplays.ru/site/12325027"
12325028;"[1.6.0]";"10.08.2019 19:02";"Случайный бой";"38_mannerheim_line";"I";97640080;"Brefl";"ussr:R07_T-34-85";1;0;27;5;1837;1;0;0;4,0000000000;3770;1874;"http://wotreplays.ru/site/12325028"
12325029;"[1.6.0]";"10.08.2019 19:00";"Случайный бой";"01_karelia";"I";96186117;"pot_v_rot";"ussr:R127_T44_100_P";1;0;37;7;6118;5;0;0;2,6500000000;8120;4650;"http://wotreplays.ru/site/12325029"
12325030;"[1.6.0]";"10.08.2019 19:12";"Случайный бой";"101_dday";"II";61295;"UlMiH";"ussr:R112_T54_45";1;0;6;0;734;0;0;0;1,5200000000;87720;44803;"http://wotreplays.ru/site/12325030"
12325031;"[1.6.0]";"10.08.2019 19:11";"Случайный бой";"08_ruinberg";"II";20980235;"ykkeB";"usa:A122_TS-5";1;1;15;4;3458;0;0;0;1,0300000000;37210;20350;"http://wotreplays.ru/site/12325031"
12325032;"[1.6.0]";"10.08.2019 19:01";"Случайный бой";"28_desert";"II";11834555;"eh_posvechu";"uk:GB102_LHMTV";1;0;17;2;1990;4;0;0;4,6600000000;47557;25932;"http://wotreplays.ru/site/12325032"
12325033;"[1.6.0]";"10.08.2019 19:10";"Случайный бой";"19_monastery";"I";20208169;"Igoryan92";"uk:GB104_GSR_3301_Setter";1;0;20;3;2262;3;0;0;2,8600000000;49978;28352;"http://wotreplays.ru/site/12325033"
12325034;"[1.6.0]";"09.08.2019 18:14";"Случайный бой";"23_westfeld";"II";27973176;"mitya_shtuk";"germany:G97_Waffentrager_IV";1;2;22;4;7804;2;0;0;3,0500000000;51891;27547;"http://wotreplays.ru/site/12325034"
12325035;"[1.5.1]";"02.08.2019 13:49";"Случайный бой";"101_dday";"II";18295925;"Serega16_04_2002";"usa:A122_TS-5";1;0;15;6;3730;2;0;0;1,3900000000;88145;46877;"http://wotreplays.ru/site/12325035"
12325036;"[1.6.0]";"10.08.2019 19:09";"Случайный бой";"34_redshire";"I";65622402;"Billey_Bons_";"france:F84_Somua_SM";1;0;24;4;5060;0;0;0;0,8500000000;33319;17812;"http://wotreplays.ru/site/12325036"
12325037;"[1.6.0]";"10.08.2019 18:41";"Случайный бой";"114_czech";"II";6918559;"Nike_Torres";"france:F18_Bat_Chatillon25t";1;0;21;7;4501;3;0;0;4,5500000000;34238;18173;"http://wotreplays.ru/site/12325037"
12325039;"[1.5.1]";"30.07.2019 19:22";"Случайный бой";"38_mannerheim_line";"I";18295925;"Serega16_04_2002";"germany:G51_Lowe";1;0;29;6;3910;2;0;94;1,5500000000;88145;46877;"http://wotreplays.ru/site/12325039"
12325042;"[1.6.0]";"10.08.2019 19:16";"Случайный бой";"07_lakeville";"I";23222739;"ERTYUIASERTY";"ussr:R56_T-127";0;1;26;5;826;2;0;38;1,4900000000;14054;6861;"http://wotreplays.ru/site/12325042"
12325043;"[1.6.0]";"10.08.2019 19:08";"Случайный бой";"08_ruinberg";"II";96466360;"SlEpOyRaK_1_1";"uk:GB70_N_FV4202_105";1;0;13;2;924;1;0;0;1,9000000000;3421;1735;"http://wotreplays.ru/site/12325043"
12325044;"[1.6.0]";"10.08.2019 19:09";"Случайный бой";"08_ruinberg";"I";5295811;"Oleg_157";"germany:G91_Pro_Ag_A";1;1;17;5;4909;0;0;0;2,2400000000;26319;12898;"http://wotreplays.ru/site/12325044"
12325045;"[1.6.0]";"10.08.2019 19:11";"Случайный бой";"18_cliff";"II";18457124;"BEZA8001";"uk:GB98_T95_FV4201_Chieftain";1;0;28;3;8368;2;0;0;2,7100000000;70531;36145;"http://wotreplays.ru/site/12325045"
12325046;"[1.6.0]";"10.08.2019 19:15";"Случайный бой";"63_tundra";"I";108994171;"TPAKTOPICT_228_2";"ussr:R106_KV85";0;0;15;6;2299;2;35;0;2,0100000000;310;183;"http://wotreplays.ru/site/12325046"
12325047;"[1.6.0]";"10.08.2019 19:18";"Случайный бой";"31_airfield";"I";4287873;"xxdeniolxx";"sweden:S22_Strv_S1";1;0;16;1;4069;3;0;0;0,5100000000;29491;16174;"http://wotreplays.ru/site/12325047"
12325048;"[1.6.0]";"10.08.2019 19:07";"Случайный бой";"33_fjord";"II";22045903;"01dimon21rus";"ussr:R45_IS-7";1;0;23;4;9183;2;0;0;2,5500000000;48576;25266;"http://wotreplays.ru/site/12325048"
12325049;"[1.6.0]";"10.08.2019 19:14";"Случайный бой";"10_hills";"II";50945;"dimmond";"czech:Cz05_T34_100";1;0;15;2;2793;0;0;0;2,8100000000;42616;22835;"http://wotreplays.ru/site/12325049"
12325050;"[1.6.0]";"10.08.2019 19:03";"Случайный бой";"04_himmelsdorf";"II";14573247;"KnightRussia";"usa:A80_T26_E4_SuperPershing";0;0;18;6;2358;3;0;92;4,8300000000;31929;15655;"http://wotreplays.ru/site/12325050"
12325051;"[1.6.0]";"10.08.2019 19:09";"Случайный бой";"38_mannerheim_line";"I";47887552;"zachemvamdengi";"germany:G114_Rheinmetall_Skorpian";1;0;8;4;2127;2;100;99;3,4800000000;18847;9859;"http://wotreplays.ru/site/12325051"
12325052;"[1.6.0]";"10.08.2019 19:21";"Случайный бой";"34_redshire";"I";5909583;"mt9000";"italy:It13_Progetto_M35_mod_46";1;0;29;2;4851;0;0;0;1,9300000000;53403;27696;"http://wotreplays.ru/site/12325052"
12325054;"[1.6.0]";"10.08.2019 18:27";"Случайный бой";"01_karelia";"I";98691221;"Barnabas_I";"germany:G91_Pro_Ag_A";1;0;30;8;6426;2;0;5;4,6200000000;8194;4037;"http://wotreplays.ru/site/12325054"
12325055;"[1.6.0]";"10.08.2019 12:01";"Случайный бой";"10_hills";"II";10790043;"ThePunisherII";"ussr:R01_IS";1;0;14;3;3964;1;0;0;1,7800000000;25510;12978;"http://wotreplays.ru/site/12325055"
12325056;"[1.6.0]";"10.08.2019 19:19";"Случайный бой";"95_lost_city_ctf";"II";20980235;"ykkeB";"usa:A122_TS-5";1;1;26;3;4083;3;64;0;1,5500000000;37210;20350;"http://wotreplays.ru/site/12325056"
12325058;"[1.6.0]";"10.08.2019 19:20";"Случайный бой";"31_airfield";"II";58833930;"Lobas22ru";"germany:G114_Rheinmetall_Skorpian";1;0;11;3;3373;0;0;0;1,7400000000;40568;21662;"http://wotreplays.ru/site/12325058"
12325059;"[1.6.0]";"10.08.2019 19:18";"Случайный бой";"13_erlenberg";"II";4452776;"APECTAHT_159_4";"ussr:R149_Object_268_4";1;2;21;8;10146;1;0;0;1,9400000000;35664;21120;"http://wotreplays.ru/site/12325059"
12325060;"[1.6.0]";"10.08.2019 19:10";"Случайный бой";"101_dday";"I";14129795;"iceQvat";"usa:A99_T92_LT";1;0;26;4;2961;5;0;0;2,6900000000;40278;23568;"http://wotreplays.ru/site/12325060"
12325061;"[1.6.0]";"10.08.2019 19:23";"Случайный бой";"13_erlenberg";"II";97640080;"Brefl";"ussr:R07_T-34-85";1;0;20;2;1380;1;0;0;2,0900000000;3770;1874;"http://wotreplays.ru/site/12325061"
12325062;"[1.6.0]";"10.08.2019 19:20";"Случайный бой";"01_karelia";"II";14129795;"iceQvat";"usa:A99_T92_LT";1;0;23;3;2491;8;0;0;2,6000000000;40278;23568;"http://wotreplays.ru/site/12325062"
12325120;"[1.6.0]";"10.08.2019 19:50";"Случайный бой";"07_lakeville";"II";64782905;"Bulbic";"italy:It12_Prototipo_Standard_B";0;0;12;2;3315;1;0;0;0,6200000000;15889;8252;"http://wotreplays.ru/site/12325120"
12325121;"[1.6.0]";"10.08.2019 19:20";"Случайный бой";"33_fjord";"I";27276417;"gudanchik32";"france:F09_AMX_50_120";1;0;22;7;4476;1;0;0;3,5100000000;33317;17239;"http://wotreplays.ru/site/12325121"
12325122;"[1.6.0]";"10.08.2019 19:42";"Случайный бой";"19_monastery";"II";2190908;"pataoo";"france:F108_Panhard_EBR_105";0;0;24;7;4039;2;0;100;10,1600000000;31587;17937;"http://wotreplays.ru/site/12325122"
12325123;"[1.6.0]";"10.08.2019 19:51";"Случайный бой";"36_fishing_bay";"I";12784037;"levnvkz";"ussr:R161_T_116";1;0;48;3;1019;4;0;0;2,2700000000;11976;6381;"http://wotreplays.ru/site/12325123"
12325124;"[1.6.0]";"10.08.2019 19:46";"Случайный бой";"02_malinovka";"II";17760792;"_X_ShuLeR_X_";"italy:It12_Prototipo_Standard_B";1;0;23;6;7066;4;0;0;3,6100000000;19402;10834;"http://wotreplays.ru/site/12325124"
12325063;"[1.6.0]";"10.08.2019 19:26";"Случайный бой";"04_himmelsdorf";"II";61295;"UlMiH";"ussr:R134_Object_252K";1;0;3;0;496;3;0;0;0,5800000000;87720;44803;"http://wotreplays.ru/site/12325063"
12325064;"[1.6.0]";"10.08.2019 19:20";"Случайный бой";"23_westfeld";"I";2309067;"_FrankeN_";"germany:G56_E-100";1;0;12;6;4964;2;4;0;1,5100000000;73316;41406;"http://wotreplays.ru/site/12325064"
12325065;"[1.6.0]";"10.08.2019 19:07";"Генеральное сражение";"217_er_alaska";"I";17689394;"Pincers_vs_predators";"ussr:R95_Object_907";1;1;28;5;4278;2;0;0;3,9300000000;13549;6708;"http://wotreplays.ru/site/12325065"
12325067;"[1.6.0]";"10.08.2019 19:27";"Случайный бой";"10_hills";"I";850254;"lepsik84";"ussr:R86_LTP";0;0;29;3;620;2;0;0;0,9100000000;32995;16717;"http://wotreplays.ru/site/12325067"
12325068;"[1.6.0]";"10.08.2019 19:26";"Случайный бой";"33_fjord";"I";39145785;"daniiiiilllll";"ussr:R74_SU100M1";0;0;19;7;3557;6;0;0;1,4100000000;2862;1293;"http://wotreplays.ru/site/12325068"
